Cup,Dead,L2_crisper,L2,L3,L4,L5,L6,Pupa,Sex,Days_L2,Days_L3,Days_L4,Days_L5,skippers_L4,Days_L6,skippers_L6
149,,01-09-2017,06-09-2017,16-09-2017,22-09-2017,27-09-2017,03-10-2017,16-10-2017,F,10,6,5,6,,13,
150,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,,28-09-2017,10-10-2017,M,9,6,,,7,12,12
151,15-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
152,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,,27-09-2017,09-10-2017,M,8,6,,,7,12,12
153,,01-09-2017,06-09-2017,17-09-2017,23-09-2017,28-09-2017,04-10-2017,15-10-2017,M,11,6,5,6,,11,
154,,01-09-2017,06-09-2017,15-09-2017,20-09-2017,25-09-2017,02-10-2017,15-10-2017,F,9,5,5,7,,13,
155,,01-09-2017,06-09-2017,11-09-2017,25-09-2017,30-09-2017,07-10-2017,19-10-2017,F,5,14,5,7,,12,
156,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,,28-09-2017,10-10-2017,M,9,6,,,7,12,12
157,,01-09-2017,06-09-2017,15-09-2017,20-09-2017,25-09-2017,02-10-2017,15-10-2017,F,9,5,5,7,,13,
158,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,25-09-2017,01-10-2017,11-10-2017,M,8,6,5,6,,10,
159,,01-09-2017,06-09-2017,14-09-2017,21-09-2017,27-09-2017,03-10-2017,16-10-2017,F,8,7,6,6,,13,
160,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,,27-09-2017,09-10-2017,M,8,6,,,7,12,12
161,30-09-2017,01-09-2017,06-09-2017,18-09-2017,,,,,,12,,,,,,
162,,01-09-2017,06-09-2017,17-09-2017,23-09-2017,29-09-2017,06-10-2017,19-10-2017,F,11,6,6,7,,13,
163,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,,27-09-2017,09-10-2017,M,8,6,,,7,12,12
164,,01-09-2017,06-09-2017,12-09-2017,18-09-2017,23-09-2017,30-09-2017,13-10-2017,F,6,6,5,7,,13,
165,,01-09-2017,06-09-2017,17-09-2017,23-09-2017,28-09-2017,04-10-2017,15-10-2017,M,11,6,5,6,,11,
166,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,,29-09-2017,11-10-2017,M,9,6,,,8,12,12
167,,01-09-2017,06-09-2017,15-09-2017,20-09-2017,25-09-2017,01-10-2017,14-10-2017,F,9,5,5,6,,13,
168,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,25-09-2017,02-10-2017,14-10-2017,F,8,6,5,7,,12,
169,,01-09-2017,06-09-2017,13-09-2017,20-09-2017,24-09-2017,01-10-2017,12-10-2017,M,7,7,4,7,,11,
170,,01-09-2017,06-09-2017,13-09-2017,20-09-2017,26-09-2017,02-10-2017,16-10-2017,F,7,7,6,6,,14,
171,,01-09-2017,06-09-2017,14-09-2017,21-09-2017,27-09-2017,04-10-2017,17-10-2017,F,8,7,6,7,,13,
172,10-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
173,,01-09-2017,06-09-2017,13-09-2017,19-09-2017,,26-09-2017,08-10-2017,M,7,6,,,7,12,12
174,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,25-09-2017,02-10-2017,17-10-2017,F,8,6,5,7,,15,
175,,01-09-2017,06-09-2017,15-09-2017,20-09-2017,26-09-2017,02-10-2017,13-10-2017,M,9,5,6,6,,11,
176,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,25-09-2017,01-10-2017,13-10-2017,F,8,6,5,6,,12,
177,,01-09-2017,06-09-2017,14-09-2017,21-09-2017,26-09-2017,02-10-2017,13-10-2017,M,8,7,5,6,,11,
178,11-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
179,12-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
180,,01-09-2017,06-09-2017,16-09-2017,22-09-2017,27-09-2017,03-10-2017,14-10-2017,M,10,6,5,6,,11,
181,16-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
182,,01-09-2017,06-09-2017,16-09-2017,22-09-2017,28-09-2017,04-10-2017,17-10-2017,F,10,6,6,6,,13,
183,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,27-09-2017,02-10-2017,15-10-2017,M,9,6,6,5,,13,
184,,01-09-2017,06-09-2017,14-09-2017,21-09-2017,26-09-2017,02-10-2017,15-10-2017,F,8,7,5,6,,13,
185,,01-09-2017,06-09-2017,16-09-2017,23-09-2017,,01-10-2017,14-10-2017,M,10,7,,,8,13,13
186,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,02-10-2017,13-10-2017,M,8,6,6,6,,11,
187,,01-09-2017,06-09-2017,18-09-2017,24-09-2017,29-09-2017,06-10-2017,16-10-2017,M,12,6,5,7,,10,
188,,01-09-2017,06-09-2017,14-09-2017,19-09-2017,24-09-2017,30-09-2017,11-10-2017,M,8,5,5,6,,11,
189,11-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
190,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,03-10-2017,16-10-2017,F,8,6,6,7,,13,
191,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,26-09-2017,03-10-2017,17-10-2017,F,9,6,5,7,,14,
192,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,27-09-2017,03-10-2017,15-10-2017,F,9,6,6,6,,12,
193,,01-09-2017,06-09-2017,14-09-2017,20-09-2017,26-09-2017,03-10-2017,16-10-2017,F,8,6,6,7,,13,
194,,01-09-2017,06-09-2017,17-09-2017,22-09-2017,28-09-2017,04-10-2017,17-10-2017,F,11,5,6,6,,13,
195,,01-09-2017,06-09-2017,15-09-2017,21-09-2017,28-09-2017,04-10-2017,18-10-2017,F,9,6,7,6,,14,
196,12-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
197,,01-09-2017,06-09-2017,16-09-2017,22-09-2017,28-09-2017,04-10-2017,15-10-2017,M,10,6,6,6,,11,
198,,01-09-2017,06-09-2017,17-09-2017,24-09-2017,30-09-2017,07-10-2017,21-10-2017,F,11,7,6,7,,14,
199,,01-09-2017,06-09-2017,15-09-2017,22-09-2017,,29-09-2017,12-10-2017,M,9,7,,,7,13,13
200,17-09-2017,01-09-2017,06-09-2017,,,,,,,,,,,,,
Average,,,,,,,,,,9,6,6,6,7,12,12
Extras,,,,,,,,,,,,,,,,
1,,01-09-2017,06-09-2017,,,,,2008-10-17,M,,,,,,,
2,,01-09-2017,06-09-2017,,,,,2008-10-17,M,,,,,,,
3,,01-09-2017,06-09-2017,,,,,2018-10-17,F,,,,,,,
4,,01-09-2017,06-09-2017,,,,,2014-10-17,F,,,,,,,
5,,01-09-2017,06-09-2017,,,,,2014-10-17,F,,,,,,,
6,,01-09-2017,06-09-2017,,,,,,,,,,,,,
7,,01-09-2017,06-09-2017,,,,,2015-10-17,M,,,,,,,
8,,01-09-2017,06-09-2017,,,,,2012-10-17,F,,,,,,,
9,,01-09-2017,06-09-2017,,,,,2015-10-17,F,,,,,,,
10,,01-09-2017,06-09-2017,,,,,,,,,,,,,
11,,01-09-2017,06-09-2017,,,,,2014-10-17,F,,,,,,,
12,,01-09-2017,06-09-2017,,,,,2015-10-17,F,,,,,,,
13,,01-09-2017,06-09-2017,,,,,2012-10-17,M,,,,,,,
14,,01-09-2017,06-09-2017,,,,,2020-10-17,F,,,,,,,
15,,01-09-2017,06-09-2017,,,,,,,,,,,,,
16,,01-09-2017,06-09-2017,,,,,2017-10-17,F,,,,,,,
17,,01-09-2017,06-09-2017,,,,,2018-10-17,F,,,,,,,
18,,01-09-2017,06-09-2017,,,,,2010-10-17,M,,,,,,,
19,,01-09-2017,06-09-2017,,,,,,,,,,,,,
20,,01-09-2017,06-09-2017,,,,,,,,,,,,,
21,,01-09-2017,06-09-2017,,,,,2017-10-17,F,,,,,,,
22,,01-09-2017,06-09-2017,,,,,2013-10-17,F,,,,,,,
23,,01-09-2017,06-09-2017,,,,,2014-10-17,M,,,,,,,
24,,01-09-2017,06-09-2017,,,,,2010-10-17,M,,,,,,,
25,,01-09-2017,06-09-2017,,,,,2018-10-17,M,,,,,,,
26,,01-09-2017,06-09-2017,,,,,,,,,,,,,
27,,01-09-2017,06-09-2017,,,,,2014-10-17,F,,,,,,,
28,,01-09-2017,06-09-2017,,,,,2019-10-17,M,,,,,,,
29,,01-09-2017,06-09-2017,,,,,2013-10-17,F,,,,,,,
30,,01-09-2017,06-09-2017,,,,,2012-10-17,M,,,,,,,
31,,01-09-2017,06-09-2017,,,,,2011-10-17,M,,,,,,,
32,,01-09-2017,06-09-2017,,,,,2014-10-17,M,,,,,,,
33,,01-09-2017,06-09-2017,,,,,2015-10-17,F,,,,,,,
34,,01-09-2017,06-09-2017,,,,,2015-10-17,F,,,,,,,
35,,01-09-2017,06-09-2017,,,,,2012-10-17,M,,,,,,,
36,,01-09-2017,06-09-2017,,,,,2016-10-17,F,,,,,,,
37,,01-09-2017,06-09-2017,,,,,,,,,,,,,
38,,01-09-2017,06-09-2017,,,,,2013-10-17,F,,,,,,,
39,,01-09-2017,06-09-2017,,,,,2022-10-17,F,,,,,,,
40,,01-09-2017,06-09-2017,,,,,2017-10-17,F,,,,,,,
41,,01-09-2017,06-09-2017,,,,,2012-10-17,M,,,,,,,
42,,01-09-2017,06-09-2017,,,,,2011-10-17,M,,,,,,,
43,,01-09-2017,06-09-2017,,,,,2013-10-17,F,,,,,,,
44,,01-09-2017,06-09-2017,,,,,2009-10-17,M,,,,,,,
45,,01-09-2017,06-09-2017,,,,,2010-10-17,M,,,,,,,
46,,01-09-2017,06-09-2017,,,,,2014-10-17,F,,,,,,,
47,,01-09-2017,06-09-2017,,,,,2012-10-17,M,,,,,,,
48,,01-09-2017,06-09-2017,,,,,2012-10-17,M,,,,,,,
49,,01-09-2017,06-09-2017,,,,,2015-10-17,F,,,,,,,
50,,01-09-2017,06-09-2017,,,,,2013-10-17,M,,,,,,,
