Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,L5.5,Time_in_treatment_L5.5,Days_2_L5.5,Time_to_20deg_L5.5,L6,Time_in_treatment_L6,Days_5_L6,Time_to_20deg_L6,L6.5,Time_in_treatment_L6.5,Days_5_L6.5,Time_to_20deg_L6.5,Pupa,Sex
11,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,27-03-2018,10:00,28-03-2018,09:00,02-04-2018,10:00,04-04-2018,09:00,,,,,08-04-2018,10:00,13-04-2018,10:00,,,,,18-04-2018,M
12,16-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,15-03-2018,10:00,16-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,
13,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,28-03-2018,10:00,30-03-2018,09:00,,,,,05-04-2018,11:00,10-04-2018,09:00,,,,,21-04-2018,M
14,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,30-03-2018,10:00,01-04-2018,11:00,11-04-2018,10:00,13-04-2018,10:00,21-04-2018,10:00,26-04-2018,09:00,,,,,13-05-2018,M
15,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,15-03-2018,10:00,16-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,25-03-2018,10:00,27-03-2018,10:00,,,,,31-03-2018,10:00,05-04-2018,10:00,,,,,05-04-2018,M
16,31-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,,,,,,,,,,,,,,,,,,
17,11-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
18,13-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,06-04-2018,10:00,08-04-2018,09:00,08-04-2018,10:00,13-04-2018,10:00,,,,,,
19,03-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,19-03-2018,10:00,20-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,31-03-2018,10:00,02-04-2018,09:00,,,,,,,,,,,,,,
20,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,
21,11-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,31-03-2018,10:00,02-04-2018,09:00,04-04-2018,10:00,06-04-2018,09:00,13-04-2018,10:00,19-04-2018,09:00,,,,,02-05-2018,F
23,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,28-03-2018,10:00,30-03-2018,09:00,,,,,06-04-2018,10:00,08-04-2018,09:00,,,,,21-04-2018,M
24,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,25-03-2018,10:00,27-03-2018,10:00,,,,,02-04-2018,10:00,07-04-2018,09:00,,,,,18-04-2018,M
25,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,04-04-2018,10:00,06-04-2018,09:00,07-04-2018,11:00,12-04-2018,10:00,,,,,27-04-2018,F
26,13-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,28-03-2018,10:00,30-03-2018,09:00,,,,,05-04-2018,11:00,10-04-2018,09:00,,,,,20-04-2018,M
28,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,28-03-2018,10:00,30-03-2018,09:00,,,,,03-04-2018,11:00,08-04-2018,09:00,,,,,21-04-2018,F
29,31-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,,,,,,,,,,,,,,,,,,
30,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,19-03-2018,10:00,20-03-2018,09:00,27-03-2018,10:00,28-03-2018,09:00,01-04-2018,12:00,03-04-2018,09:00,06-04-2018,10:00,08-04-2018,09:00,14-04-2018,10:00,19-04-2018,09:00,,,,,03-05-2018,F
31,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,19-03-2018,10:00,20-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,31-03-2018,10:00,02-04-2018,09:00,,,,,06-04-2018,10:00,11-04-2018,09:00,,,,,22-04-2018,M
32,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,25-03-2018,10:00,27-03-2018,10:00,,,,,01-04-2018,12:00,06-04-2018,09:00,,,,,16-04-2018,M
33,14-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
34,11-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,25-03-2018,10:00,27-03-2018,10:00,,,,,30-03-2018,10:00,04-04-2018,09:00,,,,,11-04-2018,M
36,23-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,
37,13-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,19-03-2018,10:00,20-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,31-03-2018,10:00,02-04-2018,09:00,,,,,08-04-2018,10:00,13-04-2018,10:00,,,,,,
38,11-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
39,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,26-03-2018,10:00,28-03-2018,09:00,,,,,01-04-2018,12:00,06-04-2018,09:00,,,,,12-04-2018,M
40,11-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
41,16-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,19-03-2018,10:00,20-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,31-03-2018,10:00,02-04-2018,09:00,,,,,11-04-2018,10:00,16-04-2018,10:00,,,,,,
42,22-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,
43,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,15-03-2018,10:00,16-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,03-04-2018,11:00,05-04-2018,10:00,05-04-2018,11:00,10-04-2018,09:00,,,,,14-04-2018,M
44,23-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,
45,11-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,28-03-2018,10:00,30-03-2018,09:00,,,,,06-04-2018,10:00,11-04-2018,09:00,,,,,,
46,21-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,
47,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,20-03-2018,10:00,21-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,30-03-2018,10:00,01-04-2018,11:00,,,,,06-04-2018,10:00,11-04-2018,09:00,,,,,14-04-2018,M
48,28-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,,,,,,,,,,,,,,,,,,
49,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,27-03-2018,10:00,29-03-2018,09:00,,,,,07-04-2018,11:00,12-04-2018,10:00,,,,,01-05-2018,F
50,30-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,19-03-2018,10:00,20-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,
51,26-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,19-03-2018,10:00,20-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,30-03-2018,10:00,01-04-2018,11:00,07-04-2018,11:00,12-04-2018,10:00,21-04-2018,10:00,26-04-2018,09:00,,,,,,
52,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,25-03-2018,10:00,27-03-2018,10:00,,,,,31-03-2018,10:00,05-04-2018,10:00,,,,,08-04-2018,M
53,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,26-03-2018,10:00,28-03-2018,09:00,,,,,01-04-2018,12:00,06-04-2018,09:00,,,,,15-04-2018,F
54,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,26-03-2018,10:00,28-03-2018,09:00,,,,,03-04-2018,11:00,08-04-2018,09:00,,,,,22-04-2018,F
55,18-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,26-03-2018,10:00,28-03-2018,09:00,02-04-2018,10:00,04-04-2018,09:00,09-04-2018,12:00,14-04-2018,10:00,,,,,,
56,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,27-03-2018,10:00,29-03-2018,09:00,,,,,03-04-2018,11:00,08-04-2018,09:00,,,,,19-04-2018,M
57,31-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,19-03-2018,10:00,20-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,,,,,,,,,,,,,,,,,,
58,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,25-03-2018,10:00,27-03-2018,10:00,30-03-2018,10:00,01-04-2018,11:00,06-04-2018,10:00,11-04-2018,09:00,,,,,22-04-2018,F
59,19-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,30-03-2018,10:00,01-04-2018,11:00,09-04-2018,12:00,11-04-2018,09:00,17-04-2018,10:00,22-04-2018,,,,,,,
60,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,,,,,05-04-2018,11:00,10-04-2018,09:00,,,,,20-04-2018,F
61,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,26-03-2018,10:00,28-03-2018,09:00,,,,,02-04-2018,10:00,07-04-2018,09:00,,,,,22-04-2018,F
62,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,,,,,02-04-2018,10:00,07-04-2018,09:00,,,,,12-04-2018,M
63,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,27-03-2018,10:00,29-03-2018,09:00,,,,,03-04-2018,11:00,08-04-2018,09:00,,,,,22-04-2018,M
64,14-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,15-03-2018,10:00,16-03-2018,09:00,20-03-2018,10:00,21-03-2018,09:00,25-03-2018,10:00,27-03-2018,10:00,,,,,02-04-2018,10:00,07-04-2018,09:00,,,,,22-04-2018,F
66,11-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
67,11-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,28-03-2018,10:00,30-03-2018,09:00,,,,,06-04-2018,10:00,11-04-2018,09:00,,,,,,
68,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,31-03-2018,10:00,02-04-2018,09:00,,,,,12-04-2018,11:00,17-04-2018,09:00,,,,,09-05-2018,F
69,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,28-03-2018,10:00,30-03-2018,09:00,,,,,07-04-2018,11:00,12-04-2018,10:00,,,,,25-04-2018,M
70,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,15-03-2018,10:00,16-03-2018,09:00,20-03-2018,10:00,21-03-2018,09:00,24-03-2018,10:00,26-03-2018,09:00,,,,,02-04-2018,10:00,07-04-2018,09:00,,,,,19-04-2018,M
71,11-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,27-03-2018,10:00,29-03-2018,09:00,,,,,03-04-2018,11:00,08-04-2018,09:00,,,,,,
72,11-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,15-03-2018,10:00,16-03-2018,09:00,20-03-2018,10:00,21-03-2018,09:00,24-03-2018,10:00,26-03-2018,09:00,,,,,05-04-2018,11:00,10-04-2018,09:00,,,,,,
73,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,27-03-2018,10:00,29-03-2018,09:00,,,,,06-04-2018,10:00,11-04-2018,09:00,,,,,01-05-2018,F
74,08-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,28-03-2018,10:00,30-03-2018,09:00,,,,,,,,,,,,,,
75,15-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,,,,,10-04-2018,10:00,15-04-2018,09:00,,,,,,
76,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,,,,,06-04-2018,10:00,11-04-2018,09:00,,,,,29-04-2018,M
77,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,06-04-2018,10:00,08-04-2018,09:00,15-04-2018,10:00,20-04-2018,09:00,,,,,12-05-2018,F
78,14-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,26-03-2018,10:00,28-03-2018,09:00,,,,,30-03-2018,10:00,04-04-2018,09:00,,,,,09-04-2018,M
80,16-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
81,13-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,15-03-2018,10:00,16-03-2018,09:00,20-03-2018,10:00,21-03-2018,09:00,27-03-2018,10:00,29-03-2018,09:00,,,,,07-04-2018,11:00,12-04-2018,10:00,,,,,,
82,13-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,,,,,07-04-2018,11:00,12-04-2018,10:00,,,,,25-04-2018,M
84,10-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,27-03-2018,10:00,29-03-2018,09:00,,,,,04-04-2018,10:00,09-04-2018,10:00,,,,,,
85,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,,,,,05-04-2018,11:00,10-04-2018,09:00,,,,,18-04-2018,M
86,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,,,,,05-04-2018,11:00,10-04-2018,09:00,,,,,19-04-2018,M
87,14-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,26-03-2018,10:00,28-03-2018,09:00,,,,,09-04-2018,12:00,14-04-2018,10:00,,,,,,
88,10-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,20-03-2018,10:00,21-03-2018,09:00,27-03-2018,10:00,29-03-2018,09:00,,,,,04-04-2018,10:00,09-04-2018,10:00,,,,,,
89,31-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,27-03-2018,10:00,28-03-2018,09:00,,,,,,,,,,,,,,,,,,
90,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,26-03-2018,10:00,28-03-2018,09:00,,,,,28-03-2018,10:00,02-04-2018,09:00,,,,,14-04-2018,F
91,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,20-03-2018,10:00,21-03-2018,09:00,25-03-2018,10:00,27-03-2018,10:00,,,,,31-03-2018,10:00,05-04-2018,10:00,,,,,10-04-2018,M
92,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,04-04-2018,10:00,06-04-2018,09:00,14-04-2018,10:00,19-04-2018,09:00,,,,,09-05-2018,F
93,02-05-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,20-03-2018,10:00,21-03-2018,09:00,26-03-2018,10:00,27-03-2018,10:00,01-04-2018,12:00,03-04-2018,09:00,17-04-2018,10:00,19-04-2018,09:00,26-04-2018,10:00,01-05-2018,10:00,,,,,,
94,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,20-03-2018,10:00,21-03-2018,09:00,24-03-2018,10:00,26-03-2018,09:00,14-04-2018,10:00,16-04-2018,10:00,23-04-2018,11:00,28-04-2018,09:00,,,,,12-05-2018,F
95,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,01-04-2018,12:00,03-04-2018,09:00,09-04-2018,12:00,14-04-2018,10:00,,,,,25-04-2018,F
96,14-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,27-03-2018,10:00,29-03-2018,09:00,,,,,09-04-2018,12:00,14-04-2018,10:00,,,,,,
97,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,25-03-2018,10:00,27-03-2018,10:00,,,,,02-04-2018,10:00,07-04-2018,09:00,,,,,14-04-2018,M
98,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,19-03-2018,10:00,20-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,,,,,04-04-2018,10:00,09-04-2018,10:00,,,,,20-04-2018,M
99,25-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,28-03-2018,10:00,30-03-2018,09:00,11-04-2018,10:00,13-04-2018,10:00,12-04-2018,11:00,17-04-2018,09:00,,,,,,
100,15-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
101,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,25-03-2018,10:00,27-03-2018,10:00,,,,,31-03-2018,10:00,05-04-2018,10:00,,,,,08-04-2018,M
102,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,30-03-2018,10:00,01-04-2018,11:00,,,,,07-04-2018,11:00,12-04-2018,10:00,,,,,24-04-2018,F
103,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,19-03-2018,10:00,20-03-2018,09:00,25-03-2018,10:00,26-03-2018,09:00,01-04-2018,12:00,03-04-2018,09:00,,,,,10-04-2018,10:00,15-04-2018,09:00,,,,,28-04-2018,F
104,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,21-03-2018,14:00,22-03-2018,09:00,24-03-2018,10:00,26-03-2018,09:00,,,,,02-04-2018,10:00,07-04-2018,09:00,,,,,22-04-2018,M
105,24-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,17-03-2018,11:00,18-03-2018,09:00,23-03-2018,10:00,24-03-2018,09:00,,,,,,,,,,,,,,,,,,
106,11-03-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
107,,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,18-03-2018,10:00,19-03-2018,09:00,24-03-2018,10:00,25-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,31-03-2018,10:00,02-04-2018,09:00,10-04-2018,10:00,15-04-2018,09:00,,,,,29-04-2018,M
108,14-04-2018,05-03-2018,10-03-2018,11:00,11-03-2018,09:00,16-03-2018,11:00,17-03-2018,09:00,22-03-2018,10:00,23-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,,,,,09-04-2018,12:00,14-04-2018,10:00,,,,,,
