Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
130,,05-02-2018,10-02-2018,19-02-2018,23-02-2018,28-02-2018,,05-03-2018,,14-03-2018,M
131,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,04-03-2018,,12-03-2018,M
132,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,26-02-2018,,02-03-2018,,10-03-2018,M
133,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,05-03-2018,,12-03-2018,M
134,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,26-02-2018,03-03-2018,07-03-2018,,18-03-2018,F
135,21-02-2018,05-02-2018,10-02-2018,18-02-2018,,,,,,,
136,,05-02-2018,10-02-2018,19-02-2018,23-02-2018,28-02-2018,,05-03-2018,,14-03-2018,M
137,,05-02-2018,10-02-2018,17-02-2018,21-02-2018,26-02-2018,,04-03-2018,,13-03-2018,M
138,,05-02-2018,10-02-2018,16-02-2018,21-02-2018,27-02-2018,,04-03-2018,,15-03-2018,M
139,,05-02-2018,10-02-2018,16-02-2018,21-02-2018,25-02-2018,,02-03-2018,,12-03-2018,M
140,,05-02-2018,10-02-2018,19-02-2018,24-02-2018,28-02-2018,,05-03-2018,,14-03-2018,M
141,,05-02-2018,10-02-2018,19-02-2018,23-02-2018,28-02-2018,,03-03-2018,,11-03-2018,M
142,,05-02-2018,10-02-2018,16-02-2018,21-02-2018,26-02-2018,,03-03-2018,,14-03-2018,F
143,21-02-2018,05-02-2018,10-02-2018,19-02-2018,,,,,,,
144,21-02-2018,05-02-2018,10-02-2018,17-02-2018,,,,,,,
145,,05-02-2018,10-02-2018,18-02-2018,23-02-2018,28-02-2018,,05-03-2018,,17-03-2018,F
146,,05-02-2018,10-02-2018,22-02-2018,27-02-2018,03-03-2018,,08-03-2018,,16-03-2018,M
147,,05-02-2018,10-02-2018,20-02-2018,25-02-2018,01-03-2018,,06-03-2018,,15-03-2018,M
148,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,27-02-2018,,04-03-2018,,15-03-2018,F
149,,05-02-2018,10-02-2018,16-02-2018,20-02-2018,24-02-2018,,01-03-2018,,09-03-2018,M
150,,05-02-2018,10-02-2018,16-02-2018,22-02-2018,27-02-2018,,03-03-2018,,19-03-2018,F
151,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,05-03-2018,,14-03-2018,M
152,,05-02-2018,10-02-2018,17-02-2018,21-02-2018,26-02-2018,,04-03-2018,,11-03-2018,M
153,19-02-2018,05-02-2018,10-02-2018,,,,,,,,
154,,05-02-2018,10-02-2018,18-02-2018,25-02-2018,01-03-2018,,07-03-2018,,18-03-2018,F
155,16-02-2018,05-02-2018,10-02-2018,,,,,,,,
156,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,27-02-2018,,04-03-2018,,13-03-2018,M
157,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,04-03-2018,,12-03-2018,M
158,,05-02-2018,10-02-2018,21-02-2018,24-02-2018,28-02-2018,,06-03-2018,,20-03-2018,F
159,,05-02-2018,10-02-2018,19-02-2018,24-02-2018,25-02-2018,03-03-2018,11-03-2018,,23-03-2018,F
160,,05-02-2018,10-02-2018,18-02-2018,23-02-2018,28-02-2018,04-03-2018,08-03-2018,,16-03-2018,M
161,24-03-2018,05-02-2018,10-02-2018,21-02-2018,27-02-2018,03-03-2018,,09-03-2018,,,
162,,05-02-2018,10-02-2018,16-02-2018,24-02-2018,01-03-2018,,08-03-2018,,20-03-2018,F
163,,05-02-2018,10-02-2018,21-02-2018,24-02-2018,01-03-2018,,06-03-2018,,14-03-2018,M
164,20-02-2018,05-02-2018,10-02-2018,17-02-2018,,,,,,,
165,,05-02-2018,10-02-2018,18-02-2018,23-02-2018,28-02-2018,,05-03-2018,,13-03-2018,M
166,,05-02-2018,10-02-2018,18-02-2018,25-02-2018,02-03-2018,,07-03-2018,,15-03-2018,M
167,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,28-02-2018,,05-03-2018,,14-03-2018,M
168,14-02-2018,05-02-2018,10-02-2018,,,,,,,,
169,,05-02-2018,10-02-2018,18-02-2018,23-02-2018,28-02-2018,,05-03-2018,,16-03-2018,F
170,17-02-2018,05-02-2018,10-02-2018,,,,,,,,
171,,05-02-2018,10-02-2018,19-02-2018,22-02-2018,28-02-2018,,05-03-2018,,14-03-2018,M
172,,05-02-2018,10-02-2018,21-02-2018,01-03-2018,03-03-2018,,09-03-2018,,18-03-2018,F
173,,05-02-2018,10-02-2018,19-02-2018,24-02-2018,28-02-2018,,05-03-2018,,16-03-2018,F
174,,05-02-2018,10-02-2018,17-02-2018,22-02-2018,27-02-2018,,05-03-2018,,15-03-2018,F
175,,05-02-2018,10-02-2018,17-02-2018,23-02-2018,27-02-2018,,04-03-2018,,14-03-2018,F
176,,05-02-2018,10-02-2018,18-02-2018,24-02-2018,28-02-2018,,06-03-2018,,14-03-2018,M
