Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,L5.5,Time_in_treatment_L5.5,Days_2_L5.5,Time_to_20deg_L5.5,L6,Time_in_treatment_L6,Days_3_L6,Time_to_20deg_L6,L6.5,Time_in_treatment_L6.5,Days_3_L6.5,Time_to_20deg_L6.5,Pupa,Sex
155,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,21-03-2018,16:00,22-03-2018,09:00,24-03-2018,11:00,26-03-2018,09:00,,,,,27-03-2018,11:00,30-03-2018,09:00,,,,,02-04-2018,M
156,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,24-03-2018,11:00,25-03-2018,09:00,27-03-2018,11:00,29-03-2018,09:00,,,,,30-03-2018,10:00,02-04-2018,09:00,,,,,06-04-2018,M
157,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,22-03-2018,11:00,23-03-2018,09:00,26-03-2018,12:00,27-03-2018,10:00,29-03-2018,11:00,31-03-2018,09:00,01-04-2018,13:00,03-04-2018,09:00,04-04-2018,10:00,07-04-2018,09:00,,,,,11-04-2018,M
158,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,19-03-2018,11:00,20-03-2018,09:00,24-03-2018,11:00,25-03-2018,09:00,28-03-2018,13:00,30-03-2018,09:00,,,,,31-03-2018,11:00,03-04-2018,09:00,,,,,07-04-2018,F
159,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,19-03-2018,11:00,20-03-2018,09:00,24-03-2018,11:00,25-03-2018,09:00,27-03-2018,11:00,29-03-2018,09:00,,,,,30-03-2018,10:00,02-04-2018,09:00,,,,,05-04-2018,F
160,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,20-03-2018,11:00,21-03-2018,09:00,25-03-2018,12:00,26-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,31-03-2018,11:00,02-04-2018,09:00,06-04-2018,11:00,09-04-2018,10:00,,,,,16-04-2018,F
161,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,23-03-2018,12:00,24-03-2018,09:00,27-03-2018,11:00,29-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,31-03-2018,11:00,03-04-2018,09:00,,,,,07-04-2018,F
162,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,22-03-2018,11:00,23-03-2018,09:00,25-03-2018,12:00,27-03-2018,10:00,,,,,28-03-2018,13:00,31-03-2018,09:00,,,,,03-04-2018,M
164,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,23-03-2018,12:00,24-03-2018,09:00,26-03-2018,12:00,28-03-2018,09:00,28-03-2018,13:00,30-03-2018,09:00,31-03-2018,11:00,03-04-2018,09:00,,,,,06-04-2018,F
165,25-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,24-03-2018,11:00,25-03-2018,09:00,,,,,,,,,,,,,,,,,,
166,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,24-03-2018,11:00,25-03-2018,09:00,30-03-2018,10:00,01-04-2018,11:00,,,,,04-04-2018,10:00,07-04-2018,09:00,,,,,17-04-2018,M
167,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,23-03-2018,12:00,24-03-2018,09:00,27-03-2018,11:00,29-03-2018,09:00,,,,,29-03-2018,11:00,01-04-2018,11:00,,,,,06-04-2018,M
168,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,21-03-2018,16:00,22-03-2018,09:00,26-03-2018,12:00,27-03-2018,10:00,30-03-2018,10:00,01-04-2018,11:00,,,,,03-04-2018,11:00,06-04-2018,09:00,,,,,14-04-2018,M
169,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
170,17-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,23-03-2018,12:00,24-03-2018,09:00,26-03-2018,12:00,28-03-2018,09:00,28-03-2018,13:00,30-03-2018,09:00,30-03-2018,10:00,02-04-2018,09:00,,,,,06-04-2018,F
172,31-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,23-03-2018,12:00,24-03-2018,09:00,27-03-2018,11:00,29-03-2018,09:00,,,,,,,,,,,,,,
173,22-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,20-03-2018,11:00,21-03-2018,09:00,24-03-2018,11:00,25-03-2018,09:00,27-03-2018,11:00,29-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,02-04-2018,10:00,05-02-2018,10:00,,,,,09-04-2018,F
175,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,25-03-2018,12:00,26-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,,,,,06-04-2018,11:00,09-04-2018,10:00,,,,,17-04-2018,F
176,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,19-03-2018,11:00,20-03-2018,09:00,21-03-2018,16:00,22-03-2018,09:00,26-03-2018,12:00,28-03-2018,09:00,,,,,28-03-2018,13:00,31-03-2018,09:00,,,,,04-04-2018,M
178,14-03-2018,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,22-03-2018,11:00,23-03-2018,09:00,27-03-2018,11:00,29-03-2018,09:00,,,,,30-03-2018,10:00,02-04-2018,09:00,,,,,06-04-2018,F
180,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,17-03-2018,12:00,18-03-2018,09:00,21-03-2018,16:00,22-03-2018,09:00,25-03-2018,12:00,27-03-2018,10:00,,,,,30-03-2018,10:00,02-04-2018,09:00,,,,,09-04-2018,F
181,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,19-03-2018,11:00,20-03-2018,09:00,25-03-2018,12:00,26-03-2018,09:00,29-03-2018,11:00,31-03-2018,09:00,31-03-2018,11:00,02-04-2018,09:00,03-04-2018,11:00,06-04-2018,09:00,13-04-2018,10:00,16-04-2018,10:00,30-04-2018,F
182,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,19-03-2018,11:00,20-03-2018,09:00,,,,,,,,,,,,,,,,,,,,,,
183,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,19-03-2018,11:00,20-03-2018,09:00,24-03-2018,11:00,25-03-2018,09:00,27-03-2018,11:00,29-03-2018,09:00,,,,,31-03-2018,11:00,03-04-2018,09:00,,,,,08-04-2018,M
184,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,22-03-2018,11:00,23-03-2018,09:00,26-03-2018,12:00,28-03-2018,09:00,,,,,29-03-2018,11:00,01-04-2018,11:00,,,,,11-04-2018,M
185,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,21-03-2018,16:00,22-03-2018,09:00,24-03-2018,11:00,26-03-2018,09:00,,,,,26-03-2018,12:00,29-03-2018,09:00,,,,,03-04-2018,M
186,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,19-03-2018,11:00,20-03-2018,09:00,23-03-2018,12:00,24-03-2018,09:00,26-03-2018,12:00,28-03-2018,09:00,,,,,31-03-2018,11:00,03-04-2018,09:00,,,,,07-04-2018,F
187,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,22-03-2018,11:00,23-03-2018,09:00,25-03-2018,12:00,27-03-2018,10:00,,,,,28-03-2018,13:00,31-03-2018,09:00,,,,,04-04-2018,M
188,,05-03-2018,11-03-2018,11:00,12-03-2018,09:00,18-03-2018,11:00,19-03-2018,10:00,23-03-2018,12:00,24-03-2018,09:00,27-03-2018,11:00,29-03-2018,09:00,,,,,31-03-2018,11:00,03-04-2018,09:00,,,,,07-04-2018,F
