Cup #,Dead (DD/MM/YYYY),Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
187,,24-05-2018,29-05-2018,04-06-2018,09-06-2018,13-06-2018,,17-06-2018,26-06-2018,F
188,,24-05-2018,29-05-2018,06-06-2018,10-06-2018,11-06-2018,15-06-2018,28-06-2018,06-07-2018,F
189,,24-05-2018,29-05-2018,09-06-2018,14-06-2018,18-06-2018,,23-06-2018,02-07-2018,F
190,,24-05-2018,29-05-2018,05-06-2018,10-06-2018,13-06-2018,,17-06-2018,28-06-2018,F
191,,24-05-2018,29-05-2018,07-06-2018,12-06-2018,17-06-2018,,21-06-2018,01-07-2018,M
192,10-06-2018,24-05-2018,29-05-2018,09-06-2018,,,,,,
193,01-06-2018,24-05-2018,29-05-2018,,,,,,,
194,,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,17-06-2018,25-06-2018,M
195,,24-05-2018,29-05-2018,08-06-2018,12-06-2018,16-06-2018,,20-06-2018,27-06-2018,M
196,09-06-2018,24-05-2018,29-05-2018,05-06-2018,,,,,,
197,,24-05-2018,29-05-2018,04-06-2018,09-06-2018,12-06-2018,,16-06-2018,24-06-2018,M
198,17-06-2018,24-05-2018,29-05-2018,05-06-2018,09-06-2018,13-06-2018,,,,
199,,24-05-2018,29-05-2018,06-06-2018,11-06-2018,15-06-2018,,16-06-2018,25-06-2018,M
200,,24-05-2018,29-05-2018,07-06-2018,12-06-2018,17-06-2018,,23-06-2018,04-07-2018,F
Extras,,,,,,,,,,
1,,24-05-2018,29-05-2018,,,,,,26-06-2018,M
2,,24-05-2018,29-05-2018,,,,,,,
3,,24-05-2018,29-05-2018,,,,,,28-06-2018,M
4,,24-05-2018,29-05-2018,,,,,,02-07-2018,F
5,,24-05-2018,29-05-2018,,,,,,,
6,,24-05-2018,29-05-2018,,,,,,01-07-2018,F
7,,24-05-2018,29-05-2018,,,,,,27-06-2018,F
8,,24-05-2018,29-05-2018,,,,,,27-06-2018,F
9,,24-05-2018,29-05-2018,,,,,,25-06-2018,M
10,,24-05-2018,29-05-2018,,,,,,29-06-2018,M
11,,24-05-2018,29-05-2018,,,,,,29-06-2018,F
12,,24-05-2018,29-05-2018,,,,,,25-06-2018,M
13,,24-05-2018,29-05-2018,,,,,,24-06-2018,M
14,,24-05-2018,29-05-2018,,,,,,25-06-2018,M
15,,24-05-2018,29-05-2018,,,,,,28-06-2018,F
16,,24-05-2018,29-05-2018,,,,,,24-06-2018,M
17,,24-05-2018,29-05-2018,,,,,,29-06-2018,M
18,,24-05-2018,29-05-2018,,,,,,,
19,,24-05-2018,29-05-2018,,,,,,29-06-2018,F
20,,24-05-2018,29-05-2018,,,,,,27-06-2018,F
21,,24-05-2018,29-05-2018,,,,,,,
22,,24-05-2018,29-05-2018,,,,,,27-06-2018,M
23,,24-05-2018,29-05-2018,,,,,,29-06-2018,F
24,,24-05-2018,29-05-2018,,,,,,24-06-2018,M
25,,24-05-2018,29-05-2018,,,,,,05-07-2018,M
26,,24-05-2018,29-05-2018,,,,,,,
27,,24-05-2018,29-05-2018,,,,,,27-06-2018,F
28,,24-05-2018,29-05-2018,,,,,,25-06-2018,M
29,,24-05-2018,29-05-2018,,,,,,29-06-2018,M
30,,24-05-2018,29-05-2018,,,,,,01-07-2018,F
31,,24-05-2018,29-05-2018,,,,,,26-06-2018,F
32,,24-05-2018,29-05-2018,,,,,,24-06-2018,M
33,,24-05-2018,29-05-2018,,,,,,23-06-2018,M
34,,24-05-2018,29-05-2018,,,,,,27-06-2018,F
35,,24-05-2018,29-05-2018,,,,,,30-06-2018,M
36,,24-05-2018,29-05-2018,,,,,,28-06-2018,M
37,,24-05-2018,29-05-2018,,,,,,26-06-2018,F
38,,24-05-2018,29-05-2018,,,,,,27-06-2018,F
39,,24-05-2018,29-05-2018,,,,,,23-06-2018,F
40,,24-05-2018,29-05-2018,,,,,,27-06-2018,M
41,,24-05-2018,29-05-2018,,,,,,27-06-2018,M
42,,24-05-2018,29-05-2018,,,,,,25-06-2018,M
43,,24-05-2018,29-05-2018,,,,,,26-06-2018,M
44,,24-05-2018,29-05-2018,,,,,,29-06-2018,F
45,,24-05-2018,29-05-2018,,,,,,,
46,,24-05-2018,29-05-2018,,,,,,28-06-2018,F
47,,24-05-2018,29-05-2018,,,,,,25-06-2018,M
48,,24-05-2018,29-05-2018,,,,,,27-06-2018,M
49,,24-05-2018,29-05-2018,,,,,,28-06-2018,M
50,,24-05-2018,29-05-2018,,,,,,29-06-2018,F
