Cup #,Dead,Crisper setup,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,L6,Time_in_treatment_L6,Days_5_L6,Time_to_20deg_L6,Pupa,Sex
56,15-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,14-12-2017,10:55,15-12-2017,10:30,,,,,,,,,,
57,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
58,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,11-12-2017,10:20,12-12-2017,10:22,15-12-2017,10:30,17-12-2017,10:23,19-12-2017,10:00,24-12-2017,13:00,29-12-2017,M
59,06-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
60,16-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,,,,,,,,,,
61,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
62,08-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
63,24-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,14-12-2017,10:55,15-12-2017,10:30,18-12-2017,10:53,20-12-2017,12:00,23-12-2017,13:00,28-12-2017,09:00,,
64,05-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
65,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
66,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
67,24-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,13-12-2017,11:27,14-12-2017,11:00,17-12-2017,10:20,19-12-2017,09:50,20-12-2017,14:00,25-12-2017,15:00,,
68,08-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
69,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
70,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,10-12-2017,10:31,11-12-2017,10:24,14-12-2017,10:55,15-12-2017,10:30,17-12-2017,10:20,19-12-2017,09:50,20-12-2017,14:00,25-12-2017,15:00,29-12-2017,M
71,18-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,07-12-2017,10:15,08-12-2017,10:04,12-12-2017,10:22,13-12-2017,09:20,15-12-2017,10:30,17-12-2017,10:23,,,,,,
72,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
73,,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,15-12-2017,10:30,16-12-2017,10:30,20-12-2017,14:00,22-12-2017,09:20,23-12-2017,13:00,28-12-2017,09:00,04-01-2018,M
74,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
75,03-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
76,07-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,,,,,,,,,,,,,,,,,,
77,29-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,08-12-2017,12:00,09-12-2017,10:07,12-12-2017,10:22,13-12-2017,09:20,15-12-2017,10:30,17-12-2017,10:23,19-12-2017,10:00,24-12-2017,13:00,,
78,11-12-2017,26-11-2017,02-12-2017,11:00,03-12-2017,10:37,09-12-2017,10:29,10-12-2017,10:35,,,,,,,,,,,,,,
