Cup,Dead,L2,Time_in_treatment_L2,Days_1_L2,Time_to_20deg_L2,DAYS_TIL_MOULT_L2,L3,Time_in_treatment_L3,Days_1_L3,Time_to_20deg_L3,DAYS_TIL_MOULT_L3,L4,Time_in_treatment_L4,Days_1_L4,Time_to_20deg_L4,DAYS_TIL_MOULT_L4,skippers_L4,L5,Time_in_treatment_L5,Days_2_L5,Time_to_20deg_L5,DAYS_TIL_MOULT_L5,L6,Time_in_treatment_L6,Days_3_L6,Time_to_20deg_L6,DAYS_TIL_MOULT_L6,skippers_L6,Pupa,Sex,total_days,Extra
111,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,4,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,M,20,0
112,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,2,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,8,,2005-02-17,F,21,0
113,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,4,2024-01-17,11:10,2025-01-17,10:45,3,,2027-01-17,10:00,2029-01-17,10:00,3,1930-01-17,09:43,2002-02-17,09:50,8,,2007-02-17,F,23,0
114,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,2,2023-01-17,12:19,2024-01-17,10:00,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,F,19,0
115,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,2,2021-01-17,11:40,2022-01-17,12:10,5,,2026-01-17,10:50,2028-01-17,09:50,4,1930-01-17,09:43,2002-02-17,09:50,6,,2005-02-17,F,21,0
116,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,3,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,F,19,0
117,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,6,,2001-02-17,M,17,0
118,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,F,19,0
119,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,2,2021-01-17,11:40,2022-01-17,12:10,3,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,8,,2003-02-17,F,19,0
120,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,4,2023-01-17,12:19,2024-01-17,10:00,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,5,,2001-02-17,M,17,0
121,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,1,,2023-01-17,10:44,2024-01-17,11:20,5,2028-01-17,09:50,1931-01-17,09:23,6,,2003-02-17,F,19,0
122,2018-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
123,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,4,1930-01-17,09:43,2002-02-17,09:50,7,,2006-02-17,F,22,0
124,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,2,,2025-01-17,10:45,2027-01-17,10:00,4,2029-01-17,10:00,2001-02-17,10:00,7,,2005-02-17,F,21,0
125,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,5,2029-01-17,10:00,2001-02-17,10:00,6,,2004-02-17,F,20,0
126,2019-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
127,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,4,2023-01-17,12:19,2024-01-17,10:00,,4,,,,,,2027-01-17,11:40,1930-01-17,09:29,,6,2002-02-17,M,18,0
128,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,4,2024-01-17,11:10,2025-01-17,10:45,,3,,,,,,2027-01-17,11:40,1930-01-17,09:29,,5,2001-02-17,M,17,0
129,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,5,2025-01-17,10:45,2026-01-17,10:50,4,,2029-01-17,10:00,1931-01-17,09:23,2,1931-01-17,09:47,2003-02-17,09:50,7,,2007-02-17,M,23,0
130,2028-01-17,2015-01-17,16:15,2016-01-17,15:49,,2021-01-17,09:30,2022-01-17,09:30,,2024-01-17,11:10,2025-01-17,10:45,2,,2026-01-17,10:50,2028-01-17,09:50,,,,,,,,,,,0
131,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,,4,,,,,,2026-01-17,10:50,2029-01-17,10:00,,7,2002-02-17,M,18,0
132,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,8,,2004-02-17,F,20,0
133,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,1,,2023-01-17,10:44,2024-01-17,11:20,1,2024-01-17,11:29,2027-01-17,10:00,9,,2002-02-17,M,18,0
134,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,6,,,,,,2029-01-17,10:00,2001-02-17,10:00,,5,2003-02-17,M,19,0
135,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,4,2024-01-17,11:10,2025-01-17,10:45,3,,2027-01-17,10:00,2029-01-17,10:00,2,2029-01-17,10:00,2001-02-17,10:00,8,,2006-02-17,F,22,0
136,2024-01-17,2015-01-17,16:15,2016-01-17,15:49,,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,,,,,,,,,,,,,,,,0
137,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,5,,2029-01-17,10:00,1931-01-17,09:23,3,2001-02-17,10:00,2004-02-17,09:20,4,,2005-02-17,M,21,0
138,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,8,,2003-02-17,M,19,0
139,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,3,,2027-01-17,10:00,2029-01-17,10:00,2,2029-01-17,10:00,2001-02-17,10:00,4,,2002-02-17,M,18,0
140,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,6,,2002-02-17,M,18,0
141,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,3,,,,,,2026-01-17,10:50,2029-01-17,10:00,,6,2001-02-17,M,17,0
142,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,M,19,0
143,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,8,,2004-02-17,M,20,0
144,2024-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
145,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,5,,,,,,2028-01-17,09:50,1931-01-17,09:23,,10,2007-02-17,M,23,0
146,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,5,,2001-02-17,M,17,0
147,2022-01-17,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,,,,,,,,,,,,,,,,,,,,,,0
148,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,4,2024-01-17,11:10,2025-01-17,10:45,3,,2027-01-17,10:00,2029-01-17,10:00,2,2029-01-17,10:00,2001-02-17,10:00,7,,2005-02-17,M,21,0
149,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,4,,,,,,2027-01-17,11:40,1930-01-17,09:29,,4,1931-01-17,M,16,0
150,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,2,2021-01-17,11:40,2022-01-17,12:10,3,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,8,,2003-02-17,F,19,0
151,2009-02-17,2015-01-17,16:15,2016-01-17,15:49,7,2022-01-17,09:30,2023-01-17,10:40,3,2025-01-17,10:45,2026-01-17,10:50,3,,2028-01-17,09:50,1930-01-17,09:29,2,1930-01-17,09:43,2002-02-17,09:50,,,,,,0
152,2016-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
153,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,5,2026-01-17,10:50,2027-01-17,10:00,,,,,,,,1930-01-17,09:43,2002-02-17,09:50,6,,2005-02-17,M,21,0
154,2019-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
155,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,8,,2005-02-17,M,21,0
156,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,2,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,6,,2002-02-17,M,18,0
157,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,,4,,,,,,2026-01-17,10:50,2029-01-17,10:00,,7,2002-02-17,M,18,0
158,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,5,,,,,,2028-01-17,09:50,1931-01-17,09:23,,5,2002-02-17,M,18,0
159,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,8,,2003-02-17,F,19,0
160,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,2,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,9,,2006-02-17,F,22,0
161,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,2,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,8,,2005-02-17,M,21,0
162,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,3,,2027-01-17,10:00,2029-01-17,10:00,2,2029-01-17,10:00,2001-02-17,10:00,8,,2006-02-17,F,22,0
163,2028-01-17,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,,,,,,,,,,,,,,,,0
164,,2015-01-17,16:15,2016-01-17,15:49,7,2022-01-17,09:30,2023-01-17,10:40,3,2025-01-17,10:45,2026-01-17,10:50,,4,,,,,,2029-01-17,10:00,2001-02-17,10:00,,4,2002-02-17,M,18,0
165,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,,4,,,,,,2026-01-17,10:50,2029-01-17,10:00,,6,2001-02-17,M,17,0
166,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,5,2025-01-17,10:45,2026-01-17,10:50,,3,,,,,,2028-01-17,09:50,1931-01-17,09:23,,9,2006-02-17,M,22,0
167,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,4,,2026-01-17,10:50,2028-01-17,09:50,3,2029-01-17,10:00,2001-02-17,10:00,6,,2004-02-17,M,20,0
168,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,4,2028-01-17,09:50,1931-01-17,09:23,9,,2006-02-17,F,22,0
169,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,5,,2028-01-17,09:50,1930-01-17,09:29,2,1930-01-17,09:43,2002-02-17,09:50,6,,2005-02-17,M,21,0
170,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,2,2021-01-17,11:40,2022-01-17,12:10,3,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,7,,2002-02-17,M,18,0
171,2020-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
172,2026-01-17,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,,,,,,,,,,,,,,,,,,,,,,0
173,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,5,2026-01-17,10:50,2027-01-17,10:00,,,,,,,,1930-01-17,09:43,2002-02-17,09:50,7,,2006-02-17,M,22,0
174,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,1,,2023-01-17,10:44,2024-01-17,11:20,2,2025-01-17,10:45,2028-01-17,09:50,8,,2002-02-17,F,18,0
175,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,6,,2002-02-17,F,18,0
176,2020-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
177,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,4,,2027-01-17,10:00,2029-01-17,10:00,2,2029-01-17,10:00,2001-02-17,10:00,5,,2003-02-17,M,19,0
178,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,8,,2004-02-17,F,20,0
179,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,5,2024-01-17,11:10,2025-01-17,10:45,4,,2028-01-17,09:50,1930-01-17,09:29,3,1931-01-17,09:47,2003-02-17,09:50,8,,2008-02-17,F,24,0
180,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,6,,2001-02-17,F,17,0
181,2019-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
182,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,,5,,,,,,2027-01-17,11:40,1930-01-17,09:29,,7,2003-02-17,M,19,0
183,2022-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,0
184,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,4,2024-01-17,11:10,2025-01-17,10:45,,5,,,,,,2029-01-17,10:00,2001-02-17,10:00,,7,2005-02-17,M,21,0
185,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,4,2023-01-17,12:19,2024-01-17,10:00,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,F,20,0
186,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,3,,2027-01-17,10:00,2029-01-17,10:00,2,2029-01-17,10:00,2001-02-17,10:00,5,,2003-02-17,M,19,0
187,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,7,,2002-02-17,M,18,0
188,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,M,19,0
189,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,5,,,,,,2028-01-17,09:50,1931-01-17,09:23,,7,2004-02-17,F,20,0
190,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,4,,2027-01-17,10:00,2029-01-17,10:00,2,2029-01-17,10:00,2001-02-17,10:00,7,,2005-02-17,F,21,0
191,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,2,2021-01-17,11:40,2022-01-17,12:10,3,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,8,,2003-02-17,F,19,0
192,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,4,2023-01-17,12:19,2024-01-17,10:00,,4,,,,,,2027-01-17,11:40,1930-01-17,09:29,,5,2001-02-17,M,17,0
193,2021-01-17,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,,,,,,,,,,,,,,,,,,,,,,0
194,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,4,2023-01-17,12:19,2024-01-17,10:00,,5,,,,,,2028-01-17,09:50,1931-01-17,09:23,,4,2001-02-17,M,17,0
195,,2015-01-17,16:15,2016-01-17,15:49,7,2022-01-17,09:30,2023-01-17,10:40,3,2025-01-17,10:45,2026-01-17,10:50,,5,,,,,,1930-01-17,09:43,2002-02-17,09:50,,4,2003-02-17,M,19,0
196,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,5,2029-01-17,10:00,2001-02-17,10:00,4,,2002-02-17,M,18,0
197,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,,5,,,,,,2027-01-17,11:40,1930-01-17,09:29,,8,2004-02-17,M,20,0
198,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,2,2023-01-17,12:19,2024-01-17,10:00,4,,2027-01-17,10:00,2029-01-17,10:00,2,2029-01-17,10:00,2001-02-17,10:00,7,,2005-02-17,F,21,0
199,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,M,19,0
200,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,4,,2028-01-17,09:50,1930-01-17,09:29,2,1930-01-17,09:43,2002-02-17,09:50,8,,2007-02-17,F,23,0
1,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,3,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,F,19,1
2,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,4,2024-01-17,11:10,2025-01-17,10:45,3,,2027-01-17,10:00,2029-01-17,10:00,2,2029-01-17,10:00,2001-02-17,10:00,7,,2005-02-17,M,21,1
3,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,7,,2003-02-17,M,19,1
4,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,8,,2003-02-17,F,19,1
5,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,4,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,F,20,1
6,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,3,2024-01-17,11:10,2025-01-17,10:45,3,,2027-01-17,10:00,2029-01-17,10:00,3,1930-01-17,09:43,2002-02-17,09:50,8,,2007-02-17,F,23,1
7,2009-02-17,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,,,,,,1
8,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,3,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,3,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,F,20,1
9,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,12:19,,4,,,,,,2028-01-17,09:50,1931-01-17,09:23,,8,2005-02-17,M,21,1
10,,2015-01-17,16:15,2016-01-17,15:49,3,2018-01-17,10:10,2019-01-17,10:15,3,2021-01-17,11:40,2022-01-17,12:10,2,,2024-01-17,09:50,2026-01-17,10:50,3,2027-01-17,11:40,1930-01-17,09:29,5,,2001-02-17,M,17,1
11,2021-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,1
12,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,10:00,,4,,,,,,2028-01-17,09:50,1931-01-17,09:23,,7,2004-02-17,M,20,1
13,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,4,2024-01-17,11:10,2025-01-17,10:45,4,,2028-01-17,09:50,1930-01-17,09:29,2,1930-01-17,09:43,2002-02-17,09:50,7,,2006-02-17,F,22,1
14,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,2,2021-01-17,11:40,2022-01-17,12:10,3,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,6,,2001-02-17,M,17,1
15,2019-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,1
16,,2015-01-17,16:15,2016-01-17,15:49,6,2021-01-17,09:30,2022-01-17,09:30,1,2022-01-17,11:05,2023-01-17,10:35,2,,2024-01-17,09:50,2026-01-17,10:50,2,2026-01-17,10:50,2029-01-17,10:00,7,,2002-02-17,M,18,1
17,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,3,2023-01-17,12:19,2024-01-17,12:19,3,,2026-01-17,10:50,2028-01-17,09:50,4,1930-01-17,09:43,2002-02-17,09:50,8,,2007-02-17,F,23,1
18,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,6,,2002-02-17,F,18,1
19,,2015-01-17,16:15,2016-01-17,15:49,5,2020-01-17,10:10,2021-01-17,10:10,2,2022-01-17,11:05,2023-01-17,10:35,3,,2025-01-17,10:45,2027-01-17,10:00,2,2027-01-17,11:40,1930-01-17,09:29,8,,2004-02-17,F,20,1
20,,2015-01-17,16:15,2016-01-17,15:49,4,2019-01-17,10:15,2020-01-17,10:10,4,2023-01-17,12:19,2024-01-17,12:19,3,,2026-01-17,10:50,2028-01-17,09:50,2,2028-01-17,09:50,1931-01-17,09:23,7,,2004-02-17,F,20,1
21,2020-01-17,2015-01-17,16:15,2016-01-17,15:49,,,,,,,,,,,,,,,,,,,,,,,,,,,1
