Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
88,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,,,11-02-2018,16-02-2018,M
89,,28-01-2018,01-02-2018,06-02-2018,11-02-2018,15-02-2018,21-02-2018,25-02-2018,04-03-2018,M
90,,28-01-2018,01-02-2018,05-02-2018,09-02-2018,11-02-2018,,16-02-2018,22-02-2018,F
91,,28-01-2018,01-02-2018,06-02-2018,10-02-2018,13-02-2018,,16-02-2018,22-02-2018,F
92,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,09-02-2018,11-02-2018,14-02-2018,20-02-2018,F
93,03-02-2018,28-01-2018,01-02-2018,,,,,,,
94,04-02-2018,28-01-2018,01-02-2018,,,,,,,
95,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,F
96,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,M
97,,28-01-2018,01-02-2018,04-02-2018,07-02-2018,11-02-2018,,14-02-2018,20-02-2018,F
98,,28-01-2018,01-02-2018,04-02-2018,07-02-2018,09-02-2018,,12-02-2018,16-02-2018,M
99,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,15-02-2018,19-02-2018,M
100,11-02-2018,28-01-2018,01-02-2018,04-02-2018,,,,,,
101,,28-01-2018,01-02-2018,04-02-2018,07-02-2018,09-02-2018,,11-02-2018,17-02-2018,M
102,,28-01-2018,01-02-2018,07-02-2018,10-02-2018,13-02-2018,,16-02-2018,21-02-2018,M
103,,28-01-2018,01-02-2018,06-02-2018,10-02-2018,13-02-2018,,16-02-2018,22-02-2018,F
104,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,M
105,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,15-02-2018,19-02-2018,M
106,06-02-2018,28-01-2018,01-02-2018,,,,,,,
107,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,21-02-2018,F
108,05-02-2018,28-01-2018,01-02-2018,,,,,,,
109,07-02-2018,28-01-2018,01-02-2018,05-02-2018,,,,,,
110,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,F
111,,28-01-2018,01-02-2018,06-02-2018,10-02-2018,13-02-2018,,16-02-2018,22-02-2018,F
112,06-02-2018,28-01-2018,01-02-2018,,,,,,,
113,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,15-02-2018,22-02-2018,F
114,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,15-02-2018,20-02-2018,M
115,,28-01-2018,01-02-2018,05-02-2018,07-02-2018,10-02-2018,,13-02-2018,19-02-2018,F
116,,28-01-2018,01-02-2018,05-02-2018,07-02-2018,11-02-2018,,15-02-2018,19-02-2018,M
117,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,13-02-2018,,16-02-2018,21-02-2018,M
118,,28-01-2018,01-02-2018,05-02-2018,08-02-2018,11-02-2018,,14-02-2018,20-02-2018,F
119,21-02-2018,28-01-2018,01-02-2018,06-02-2018,09-02-2018,12-02-2018,,15-02-2018,,
120,,28-01-2018,01-02-2018,06-02-2018,10-02-2018,16-02-2018,,19-02-2018,24-02-2018,F
121,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,11-02-2018,,14-02-2018,21-02-2018,F
122,,28-01-2018,01-02-2018,06-02-2018,08-02-2018,11-02-2018,,14-02-2018,19-02-2018,M
123,06-02-2018,28-01-2018,01-02-2018,,,,,,,
124,,28-01-2018,01-02-2018,06-02-2018,09-02-2018,13-02-2018,,16-02-2018,21-02-2018,M
