Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,L6.5,Pupa,Sex
144,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,01-04-2018,,06-04-2018,,16-04-2018,F
145,,09-03-2018,14-03-2018,21-03-2018,27-03-2018,01-04-2018,,06-04-2018,,16-04-2018,F
146,,09-03-2018,14-03-2018,22-03-2018,30-03-2018,02-04-2018,,08-04-2018,,19-04-2018,F
147,21-03-2018,09-03-2018,14-03-2018,,,,,,,,
148,,09-03-2018,14-03-2018,23-03-2018,31-03-2018,04-04-2018,,13-04-2018,,22-04-2018,F
149,30-03-2018,09-03-2018,14-03-2018,25-03-2018,27-03-2018,,,,,,
150,,09-03-2018,14-03-2018,20-03-2018,27-03-2018,30-03-2018,,05-04-2018,,14-04-2018,F
151,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,01-04-2018,,06-04-2018,,15-04-2018,M
152,21-03-2018,09-03-2018,14-03-2018,,,,,,,,
153,19-03-2018,09-03-2018,14-03-2018,,,,,,,,
154,24-03-2018,09-03-2018,14-03-2018,22-03-2018,,,,,,,
155,,09-03-2018,14-03-2018,21-03-2018,26-03-2018,01-04-2018,,06-04-2018,,15-04-2018,F
156,26-03-2018,09-03-2018,14-03-2018,,,,,,,,
157,06-04-2018,09-03-2018,14-03-2018,21-03-2018,25-03-2018,30-03-2018,,03-04-2018,,,
158,,09-03-2018,14-03-2018,22-03-2018,29-03-2018,01-04-2018,,05-04-2018,,14-04-2018,M
159,19-03-2018,09-03-2018,14-03-2018,,,,,,,,
160,,09-03-2018,14-03-2018,23-03-2018,28-03-2018,02-04-2018,,07-04-2018,,18-04-2018,F
161,26-03-2018,09-03-2018,14-03-2018,,,,,,,,
162,,09-03-2018,14-03-2018,21-03-2018,27-03-2018,31-03-2018,,06-04-2018,,18-04-2018,F
163,,09-03-2018,14-03-2018,22-03-2018,26-03-2018,02-04-2018,,08-04-2018,,17-04-2018,M
164,,09-03-2018,14-03-2018,21-03-2018,27-03-2018,02-04-2018,,07-04-2018,,18-04-2018,F
165,,09-03-2018,14-03-2018,21-03-2018,25-03-2018,29-03-2018,,04-04-2018,,12-04-2018,M
166,03-05-2018,09-03-2018,14-03-2018,21-03-2018,02-04-2018,08-04-2018,14-04-2018,20-04-2018,,,
167,23-03-2018,09-03-2018,14-03-2018,21-03-2018,,,,,,,
168,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,01-04-2018,,06-04-2018,,15-04-2018,M
169,,09-03-2018,14-03-2018,21-03-2018,25-03-2018,31-03-2018,,05-04-2018,,16-04-2018,F
170,,09-03-2018,14-03-2018,21-03-2018,25-03-2018,30-03-2018,,04-04-2018,,16-04-2018,F
171,,09-03-2018,14-03-2018,22-03-2018,27-03-2018,31-03-2018,,05-04-2018,,13-04-2018,M
