Cup #,Dead,Crisper setup,L2,L3,L4,L5,L6,Pupa,Sex
25,,20-03-2018,25-03-2018,,,,,,
26,,20-03-2018,25-03-2018,,,,,,
27,,20-03-2018,25-03-2018,,,,,02-05-2018,M
28,,20-03-2018,25-03-2018,,,,,,
29,,20-03-2018,25-03-2018,,,,,,
30,,20-03-2018,25-03-2018,,,,,,
31,,20-03-2018,25-03-2018,,,,,,
32,,20-03-2018,25-03-2018,,,,,,
33,,20-03-2018,25-03-2018,,,,,,
34,,20-03-2018,25-03-2018,,,,,,
35,,20-03-2018,25-03-2018,,,,,,
36,,20-03-2018,25-03-2018,,,,,13-05-2018,F
37,,20-03-2018,25-03-2018,,,,,,
38,,20-03-2018,25-03-2018,,,,,,
39,,20-03-2018,25-03-2018,,,,,,
40,,20-03-2018,25-03-2018,,,,,,
41,,20-03-2018,25-03-2018,,,,,,
42,,20-03-2018,25-03-2018,,,,,,
43,,20-03-2018,25-03-2018,,,,,,
44,,20-03-2018,25-03-2018,,,,,,
45,,20-03-2018,25-03-2018,,,,,,
46,,20-03-2018,25-03-2018,,,,,,
47,,20-03-2018,25-03-2018,,,,,,
48,,20-03-2018,25-03-2018,,,,,,
49,,20-03-2018,25-03-2018,,,,,09-05-2018,M
50,,20-03-2018,25-03-2018,,,,,,
