Cup,Dead,L2_crisper,L2,L3,L4,L5,L6,Pupa,Sex,Days_L2,Days_L3,Days_L4,Days_L5,skippers_L4,Days_L6,skippers_L6
26,,13-09-2017,18-09-2017,,,,,03-10-2017,M,,,,,,,
27,,13-09-2017,18-09-2017,,,,,05-10-2017,M,,,,,,,
28,,13-09-2017,18-09-2017,,,,,,,,,,,,,
29,,13-09-2017,18-09-2017,,,,,03-10-2017,M,,,,,,,
30,,13-09-2017,18-09-2017,,,,,03-10-2017,F,,,,,,,
31,,13-09-2017,18-09-2017,,,,,03-10-2017,F,,,,,,,
32,,13-09-2017,18-09-2017,,,,,03-10-2017,F,,,,,,,
33,,13-09-2017,18-09-2017,,,,,03-10-2017,F,,,,,,,
34,,13-09-2017,18-09-2017,,,,,04-10-2017,F,,,,,,,
35,,13-09-2017,18-09-2017,,,,,02-10-2017,M,,,,,,,
36,,13-09-2017,18-09-2017,,,,,01-10-2017,M,,,,,,,
37,,13-09-2017,18-09-2017,,,,,03-10-2017,M,,,,,,,
38,,13-09-2017,18-09-2017,,,,,04-10-2017,F,,,,,,,
39,,13-09-2017,18-09-2017,,,,,04-10-2017,F,,,,,,,
40,,13-09-2017,18-09-2017,,,,,03-10-2017,F,,,,,,,
41,,13-09-2017,18-09-2017,,,,,04-10-2017,F,,,,,,,
42,,13-09-2017,18-09-2017,,,,,,,,,,,,,
43,,13-09-2017,18-09-2017,,,,,04-10-2017,F,,,,,,,
44,,13-09-2017,18-09-2017,,,,,03-10-2017,F,,,,,,,
45,,13-09-2017,18-09-2017,,,,,03-10-2017,F,,,,,,,
46,,13-09-2017,18-09-2017,,,,,04-10-2017,F,,,,,,,
47,,13-09-2017,18-09-2017,,,,,04-10-2017,M,,,,,,,
48,,13-09-2017,18-09-2017,,,,,01-10-2017,M,,,,,,,
49,,13-09-2017,18-09-2017,,,,,02-10-2017,F,,,,,,,
50,,13-09-2017,18-09-2017,,,,,02-10-2017,M,,,,,,,
