Cup #,Dead,Crisper setup,L2,L3,L4,L5,L5.5,L6,Pupa,Sex
132,,30-04-2018,05-05-2018,18-05-2018,,,,,,
133,,30-04-2018,05-05-2018,10-05-2018,14-05-2018,18-05-2018,,21-05-2018,27-05-2018,M
134,,30-04-2018,05-05-2018,11-05-2018,15-05-2018,18-05-2018,,22-05-2018,27-05-2018,M
135,,30-04-2018,05-05-2018,15-05-2018,20-05-2018,,,31-05-2018,05-06-2018,M
136,,30-04-2018,05-05-2018,12-05-2018,16-05-2018,19-05-2018,,22-05-2018,26-05-2018,M
137,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,20-05-2018,24-05-2018,M
138,09-05-2018,30-04-2018,05-05-2018,,,,,,,
139,,30-04-2018,05-05-2018,09-05-2018,12-05-2018,15-05-2018,,18-05-2018,23-05-2018,M
140,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,19-05-2018,24-05-2018,M
141,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,19-05-2018,24-05-2018,M
142,,30-04-2018,05-05-2018,15-05-2018,18-05-2018,21-05-2018,,27-05-2018,31-05-2018,M
143,,30-04-2018,05-05-2018,11-05-2018,14-05-2018,17-05-2018,,20-05-2018,26-05-2018,M
144,14-05-2018,30-04-2018,05-05-2018,11-05-2018,,,,,,
145,,30-04-2018,05-05-2018,12-05-2018,15-05-2018,17-05-2018,20-05-2018,23-05-2018,28-05-2018,F
146,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,17-05-2018,,21-05-2018,26-05-2018,M
147,,30-04-2018,05-05-2018,11-05-2018,13-05-2018,16-05-2018,,20-05-2018,24-05-2018,M
148,,30-04-2018,05-05-2018,10-05-2018,12-05-2018,16-05-2018,,18-05-2018,23-05-2018,M
149,,30-04-2018,05-05-2018,09-05-2018,11-05-2018,14-05-2018,,18-05-2018,24-05-2018,F
150,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,19-05-2018,24-05-2018,M
151,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,15-05-2018,,20-05-2018,28-05-2018,M
152,,30-04-2018,05-05-2018,11-05-2018,16-05-2018,18-05-2018,,21-05-2018,27-05-2018,F
153,,30-04-2018,05-05-2018,10-05-2018,12-05-2018,16-05-2018,,19-05-2018,25-05-2018,F
154,,30-04-2018,05-05-2018,11-05-2018,14-05-2018,18-05-2018,20-05-2018,23-05-2018,29-05-2018,M
155,,30-04-2018,05-05-2018,10-05-2018,15-05-2018,18-05-2018,,21-05-2018,26-05-2018,F
156,11-05-2018,30-04-2018,05-05-2018,,,,,,,
157,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,19-05-2018,24-05-2018,F
158,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,20-05-2018,25-05-2018,M
159,,30-04-2018,05-05-2018,11-05-2018,16-05-2018,20-05-2018,21-05-2018,24-05-2018,30-05-2018,F
160,,30-04-2018,05-05-2018,09-05-2018,12-05-2018,15-05-2018,,17-05-2018,22-05-2018,M
161,,30-04-2018,05-05-2018,10-05-2018,15-05-2018,19-05-2018,21-05-2018,23-05-2018,29-05-2018,F
162,23-05-2018,30-04-2018,05-05-2018,11-05-2018,16-05-2018,19-05-2018,21-05-2018,,,
163,,30-04-2018,05-05-2018,10-05-2018,11-05-2018,16-05-2018,,19-05-2018,24-05-2018,M
164,23-05-2018,30-04-2018,05-05-2018,,,,,,,
165,,30-04-2018,05-05-2018,13-05-2018,21-05-2018,,,,,
166,,30-04-2018,05-05-2018,16-05-2018,,,,,,
167,,30-04-2018,05-05-2018,09-05-2018,12-05-2018,16-05-2018,,19-05-2018,25-05-2018,F
168,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,19-05-2018,22-05-2018,28-05-2018,F
169,,30-04-2018,05-05-2018,09-05-2018,11-05-2018,15-05-2018,,17-05-2018,23-05-2018,F
170,,30-04-2018,05-05-2018,13-05-2018,22-05-2018,,,,,
171,,30-04-2018,05-05-2018,11-05-2018,15-05-2018,18-05-2018,,21-05-2018,25-05-2018,M
172,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,20-05-2018,25-05-2018,M
173,,30-04-2018,05-05-2018,23-05-2018,,,,,,
174,,30-04-2018,05-05-2018,11-05-2018,15-05-2018,19-05-2018,,22-05-2018,28-05-2018,F
175,14-05-2018,30-04-2018,05-05-2018,11-05-2018,,,,,,
176,10-05-2018,30-04-2018,05-05-2018,,,,,,,
177,,30-04-2018,05-05-2018,16-05-2018,,,,,,
178,16-05-2018,30-04-2018,05-05-2018,11-05-2018,,,,,,
179,,30-04-2018,05-05-2018,12-05-2018,,,,,,
180,23-05-2018,30-04-2018,05-05-2018,,,,,,,
181,,30-04-2018,05-05-2018,10-05-2018,15-05-2018,,,,,
182,,30-04-2018,05-05-2018,10-05-2018,18-05-2018,,,,,
183,,30-04-2018,05-05-2018,11-05-2018,16-05-2018,19-05-2018,,21-05-2018,26-05-2018,M
184,,30-04-2018,05-05-2018,09-05-2018,12-05-2018,15-05-2018,,19-05-2018,25-05-2018,F
185,,30-04-2018,05-05-2018,09-05-2018,11-05-2018,15-05-2018,,19-05-2018,25-05-2018,M
186,21-05-2018,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,,,
187,,30-04-2018,05-05-2018,12-05-2018,20-05-2018,,,25-05-2018,01-06-2018,F
188,,30-04-2018,05-05-2018,09-05-2018,13-05-2018,16-05-2018,,20-05-2018,26-05-2018,F
189,,30-04-2018,05-05-2018,09-05-2018,12-05-2018,15-05-2018,,19-05-2018,24-05-2018,M
190,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,17-05-2018,,20-05-2018,25-05-2018,M
191,,30-04-2018,05-05-2018,16-05-2018,,,,,,
192,,30-04-2018,05-05-2018,09-05-2018,12-05-2018,14-05-2018,,17-05-2018,22-05-2018,M
193,30-05-2018,30-04-2018,05-05-2018,09-05-2018,12-05-2018,18-05-2018,,22-05-2018,,
194,12-05-2018,30-04-2018,05-05-2018,10-05-2018,11-05-2018,,,,,
195,,30-04-2018,05-05-2018,10-05-2018,13-05-2018,16-05-2018,,19-05-2018,25-05-2018,F
196,,30-04-2018,05-05-2018,12-05-2018,17-05-2018,21-05-2018,23-05-2018,27-05-2018,02-06-2018,F
197,13-05-2018,30-04-2018,05-05-2018,,,,,,,
198,20-05-2018,30-04-2018,05-05-2018,10-05-2018,11-05-2018,,,,,
199,,30-04-2018,05-05-2018,09-05-2018,13-05-2018,15-05-2018,,19-05-2018,25-05-2018,F
200,,30-04-2018,05-05-2018,15-05-2018,,,,,,
Extras,,,,,,,,,,
1,,30-04-2018,05-05-2018,,,,,,30-05-2018,F
2,,30-04-2018,05-05-2018,,,,,,,
3,,30-04-2018,05-05-2018,,,,,,03-06-2018,F
4,,30-04-2018,05-05-2018,,,,,,27-05-2018,F
5,,30-04-2018,05-05-2018,,,,,,29-05-2018,F
6,,30-04-2018,05-05-2018,,,,,,25-05-2018,M
7,,30-04-2018,05-05-2018,,,,,,26-05-2018,F
8,,30-04-2018,05-05-2018,,,,,,27-05-2018,F
9,,30-04-2018,05-05-2018,,,,,,27-05-2018,F
10,,30-04-2018,05-05-2018,,,,,,27-05-2018,F
11,,30-04-2018,05-05-2018,,,,,,25-05-2018,M
12,,30-04-2018,05-05-2018,,,,,,23-05-2018,F
13,,30-04-2018,05-05-2018,,,,,,,
14,,30-04-2018,05-05-2018,,,,,,24-05-2018,M
15,,30-04-2018,05-05-2018,,,,,,24-05-2018,M
16,,30-04-2018,05-05-2018,,,,,,,
17,,30-04-2018,05-05-2018,,,,,,,
18,,30-04-2018,05-05-2018,,,,,,28-05-2018,F
